time,type,amount
2017/1/2 17:30,SE,281.58
2017/1/2 17:35,SE,489.48
2017/1/2 17:40,SE,448.75
2017/1/2 17:45,SE,6.48
2017/1/2 17:50,SE,459.41
2017/1/2 17:55,SE,747.18
2017/1/2 18:00,SE,93.86
2017/1/2 18:05,SE,311.65
2017/1/2 18:10,SE,567.48
2017/1/2 18:15,SE,534.51
2017/1/2 18:20,SE,265.77
2017/1/2 18:25,SE,415.95
2017/1/2 18:30,SE,244.45
2017/1/2 18:35,SE,303.78
2017/1/2 18:40,SE,422.29
2017/1/2 18:45,SE,355.56
2017/1/2 18:50,SE,243.7
2017/1/2 18:55,RE,118.25
2017/1/2 18:55,SE,1224.88
2017/1/2 19:00,SE,321.79
2017/1/2 19:05,RE,22.2
2017/1/2 19:05,SE,2979.93
2017/1/2 19:10,SE,821.49
2017/1/2 19:15,SE,233.44
2017/1/2 19:20,SE,521.76
2017/1/2 19:25,RE,214.5
2017/1/2 19:25,SE,483.19
2017/1/2 19:30,SE,262.59
2017/1/2 19:35,SE,674.98
2017/1/2 19:40,SE,279.6
2017/1/2 19:45,SE,171.91
2017/1/2 19:50,SE,421.61
2017/1/2 19:55,SE,637.05
2017/1/2 20:00,SE,475.96
2017/1/2 20:05,SE,974.26
2017/1/2 20:10,SE,946.51
2017/1/2 20:15,SE,248.04
2017/1/2 20:20,SE,18918.76
2017/1/2 20:25,RE,0.1
2017/1/2 20:25,SE,451.45
2017/1/2 20:30,SE,123.03
2017/1/2 20:35,SE,303.68
2017/1/2 20:40,SE,1144.02
2017/1/2 20:45,SE,979.34
2017/1/2 20:50,SE,743.33
2017/1/2 20:55,SE,1107.93
2017/1/2 21:00,SE,1180.65
2017/1/2 21:05,SE,657.82
2017/1/2 21:10,RE,111.2
2017/1/2 21:10,SE,3313.84
2017/1/2 21:15,RE,556
2017/1/2 21:15,SE,2908.05
2017/1/2 21:20,SE,733.3
2017/1/2 21:25,SE,405.53
2017/1/2 21:30,SE,1025.06
2017/1/2 21:35,SE,753.39
2017/1/2 21:40,RE,0.01
2017/1/2 21:40,SE,1863.3
2017/1/2 21:45,SE,1053.17
2017/1/2 21:50,SE,2259.13
2017/1/2 21:55,SE,1046.44
2017/1/2 22:00,SE,1624.55
2017/1/2 22:05,SE,1073.71
2017/1/2 22:10,SE,2144.64
2017/1/2 22:15,SE,1162.66
2017/1/2 22:20,SE,3107.74
2017/1/2 22:25,RE,490.75
2017/1/2 22:25,SE,1818.85
2017/1/2 22:30,SE,1534.74
2017/1/2 22:35,SE,440.63
2017/1/2 22:40,SE,1988.82
2017/1/2 22:45,SE,1822.94
2017/1/2 22:50,SE,294.52
2017/1/2 22:55,SE,3807.29
2017/1/2 23:00,SE,231.99
2017/1/2 23:05,SE,3415.77
2017/1/2 23:10,SE,3242.36
2017/1/2 23:15,SE,2432.71
2017/1/2 23:20,SE,961.68
2017/1/2 23:25,SE,1089.35
2017/1/2 23:30,SE,3315.76
2017/1/2 23:35,SE,1623.24
2017/1/2 23:40,SE,800.23
2017/1/2 23:45,SE,452.92
2017/1/2 23:50,SE,875.66
2017/1/2 23:55,SE,342.2
2017/1/3 0:00,SE,810.63
2017/1/3 0:05,SE,228.43
2017/1/3 0:10,SE,2807.5
2017/1/3 0:15,SE,126.46
2017/1/3 0:20,SE,1255.23
2017/1/3 0:25,SE,791.54
2017/1/3 0:30,SE,681.3
2017/1/3 0:35,SE,655.82
2017/1/3 0:40,SE,832.21
2017/1/3 0:45,SE,1084.14
2017/1/3 0:50,SE,2901.22
2017/1/3 0:55,SE,2018.82
2017/1/3 1:00,SE,747.96
2017/1/3 1:05,SE,20.11
2017/1/3 1:10,RE,56
2017/1/3 1:10,SE,789.95
2017/1/3 1:15,SE,177.48
2017/1/3 1:20,SE,1092.37
2017/1/3 1:25,SE,8.35
2017/1/3 1:30,SE,13069.73
2017/1/3 1:35,SE,201.47
2017/1/3 1:40,SE,77.19
2017/1/3 1:45,SE,118.48
2017/1/3 1:50,SE,106.36
2017/1/3 1:55,SE,200.79
2017/1/3 2:10,SE,416.68
2017/1/3 2:15,SE,616.99
2017/1/3 2:20,RE,219.9
2017/1/3 2:20,SE,219.9
2017/1/3 2:25,SE,333.89
2017/1/3 2:30,SE,227.93
2017/1/3 2:35,SE,995.01
2017/1/3 2:40,SE,9.08
2017/1/3 2:45,SE,2112.98
2017/1/3 2:50,SE,538.9
2017/1/3 2:55,SE,190.21
2017/1/3 3:00,SE,1507.4
2017/1/3 3:05,RE,372
2017/1/3 3:05,SE,256.46
2017/1/3 3:10,SE,472.1
2017/1/3 3:15,SE,302.64
2017/1/3 3:20,SE,435.76
2017/1/3 3:25,SE,14.07
2017/1/3 3:35,SE,29.03
2017/1/3 3:40,SE,3825.61
2017/1/3 3:45,SE,590.61
2017/1/3 3:55,SE,94.3
2017/1/3 4:00,SE,1510.86
2017/1/3 4:05,SE,788.82
2017/1/3 4:10,SE,554.47
2017/1/3 4:15,SE,37.97
2017/1/3 4:20,SE,3724.62
2017/1/3 4:25,SE,4201.47
2017/1/3 4:30,SE,91.45
2017/1/3 4:35,SE,85.43
2017/1/3 4:40,SE,303.39
2017/1/3 4:45,SE,1878.3
2017/1/3 5:00,SE,8.33
2017/1/3 5:10,SE,121.95
2017/1/3 5:20,SE,652.93
2017/1/3 5:25,SE,19.92
2017/1/3 5:30,SE,122.58
2017/1/3 5:40,SE,14.01
2017/1/3 5:45,SE,14.01
2017/1/3 5:50,SE,123.11
2017/1/3 5:55,SE,178.98
2017/1/3 6:00,SE,220.32
2017/1/3 6:05,SE,70.64
2017/1/3 6:10,SE,380.34
2017/1/3 6:15,SE,160.6
2017/1/3 6:25,SE,472.67
2017/1/3 6:35,SE,98.8
2017/1/3 6:45,SE,169.8
2017/1/3 6:50,SE,201.29
2017/1/3 6:55,SE,172.04
2017/1/3 7:00,SE,530.93
2017/1/3 7:05,SE,720.46
2017/1/3 7:10,SE,115.06
2017/1/3 7:15,SE,93.24
2017/1/3 7:20,SE,103.43
2017/1/3 7:25,SE,62.74
2017/1/3 7:35,SE,183.57
2017/1/3 7:50,SE,817.2
2017/1/3 7:55,SE,41.13
2017/1/3 8:00,SE,254.98
2017/1/3 8:05,SE,17.74
2017/1/3 8:10,SE,20.18
2017/1/3 8:15,SE,30.25
2017/1/3 8:20,SE,129.57
2017/1/3 8:25,SE,413.31
2017/1/3 8:30,SE,202.04
2017/1/3 8:40,SE,10.99
2017/1/3 8:45,SE,140.54
2017/1/3 8:55,SE,786.37
2017/1/3 9:00,SE,223.74
2017/1/3 9:05,SE,806.25
2017/1/3 9:10,SE,138.64
2017/1/3 9:15,SE,355.62
2017/1/3 9:20,SE,744.28
2017/1/3 9:25,SE,664.36
2017/1/3 9:30,SE,939.49
2017/1/3 9:35,SE,562.03
2017/1/3 9:40,SE,24.24
2017/1/3 9:45,SE,114.15
2017/1/3 9:50,SE,899.58
2017/1/3 9:55,SE,522.17
2017/1/3 10:00,SE,120.48
2017/1/3 10:05,SE,93.86
2017/1/3 10:10,SE,232.7
2017/1/3 10:15,SE,511.79
2017/1/3 10:20,SE,345.32
2017/1/3 10:25,SE,416.61
2017/1/3 10:30,SE,1176.71
2017/1/3 10:35,RE,35.1
2017/1/3 10:35,SE,545.57
2017/1/3 10:40,SE,888.91
2017/1/3 10:45,SE,608.66
2017/1/3 10:50,SE,818.94
2017/1/3 10:55,SE,93.86
2017/1/3 11:00,SE,664.82
2017/1/3 11:05,SE,416.48
2017/1/3 11:10,SE,695.82
2017/1/3 11:15,SE,1471.82
2017/1/3 11:20,SE,1003.82
2017/1/3 11:25,SE,335.92
2017/1/3 11:30,SE,894.7
2017/1/3 11:35,SE,568.54
2017/1/3 11:40,SE,454.02
2017/1/3 11:45,SE,530.15
2017/1/3 11:50,SE,174.02
2017/1/3 11:55,SE,415.95
2017/1/3 12:00,SE,189.61
2017/1/3 12:05,SE,93.86
2017/1/3 12:10,SE,777.98
2017/1/3 12:15,SE,1009.35
2017/1/3 12:20,SE,115.98
2017/1/3 12:25,SE,290.96
2017/1/3 12:30,SE,1392.02
2017/1/3 12:35,SE,28.13
2017/1/3 12:40,SE,602.35
2017/1/3 12:45,RE,276
2017/1/3 12:45,SE,24.24
2017/1/3 12:50,SE,370.5
2017/1/3 12:55,SE,356.18
2017/1/3 13:00,SE,660.51
2017/1/3 13:05,SE,162.75
2017/1/3 13:10,SE,158.62
2017/1/3 13:15,SE,183.25
2017/1/3 13:20,SE,682.97
2017/1/3 13:25,SE,187.72
2017/1/3 13:30,SE,314.18
2017/1/3 13:35,SE,530.15
2017/1/3 13:40,SE,672.83
2017/1/3 13:45,SE,787.37
2017/1/3 13:50,SE,172.68
2017/1/3 13:55,SE,196.15
2017/1/3 14:00,SE,812.75
2017/1/3 14:05,SE,526.6
2017/1/3 14:10,SE,816.09
2017/1/3 14:15,SE,670.85
2017/1/3 14:20,SE,99.68
2017/1/3 14:25,SE,402.12
2017/1/3 14:30,SE,347.96
2017/1/3 14:35,SE,475.58
2017/1/3 14:40,SE,1588.18
2017/1/3 14:45,SE,1512.98
2017/1/3 14:50,SE,946.02
2017/1/3 14:55,SE,540.44
2017/1/3 15:00,SE,158.98
2017/1/3 15:05,RE,154
2017/1/3 15:05,SE,741.97
2017/1/3 15:10,SE,546.81
2017/1/3 15:15,SE,155.98
2017/1/3 15:20,SE,281.58
2017/1/3 15:25,SE,509.81
2017/1/3 15:30,SE,684.61
2017/1/3 15:35,SE,360.7
2017/1/3 15:40,SE,336.63
2017/1/3 15:45,SE,117.86
2017/1/3 15:50,SE,1169.2
2017/1/3 15:55,SE,720.87
2017/1/3 16:00,SE,211.96
2017/1/3 16:05,SE,668.87
2017/1/3 16:10,SE,611.34
2017/1/3 16:15,SE,461.33
2017/1/3 16:20,SE,989.18
2017/1/3 16:25,SE,170.69
2017/1/3 16:30,SE,396.41
2017/1/3 16:35,SE,698.64
2017/1/3 16:40,SE,374.27
2017/1/3 16:45,SE,311.97
2017/1/3 16:50,SE,1536.9
2017/1/3 16:55,SE,423.83
2017/1/3 17:00,RE,357.5
2017/1/3 17:00,SE,432.29
2017/1/3 17:05,SE,919.35
2017/1/3 17:10,SE,548.21
2017/1/3 17:15,SE,1599.98
2017/1/3 17:20,SE,40.56
2017/1/3 17:25,SE,701.8
2017/1/3 17:30,SE,260.37
2017/1/3 17:35,SE,46.07
2017/1/3 17:40,SE,590.36
2017/1/3 17:45,SE,175.83
2017/1/3 17:50,RE,296
2017/1/3 17:50,SE,514.88
2017/1/3 17:55,SE,509.93
2017/1/3 18:00,SE,1083.73
2017/1/3 18:05,SE,586.83
2017/1/3 18:10,SE,767.18
2017/1/3 18:15,SE,341.45
2017/1/3 18:20,SE,154.9
2017/1/3 18:25,SE,532.31
2017/1/3 18:30,SE,1290.64
2017/1/3 18:35,SE,41.35
2017/1/3 18:40,SE,571.27
2017/1/3 18:45,SE,308.41
2017/1/3 18:50,RE,41.39
2017/1/3 18:50,SE,136.3
2017/1/3 18:55,RE,92.8
2017/1/3 18:55,SE,24.24
2017/1/3 19:00,SE,167.87
2017/1/3 19:05,SE,106.13
2017/1/3 19:10,SE,18.84
2017/1/3 19:15,SE,261.51
2017/1/3 19:20,SE,645.78
2017/1/3 19:25,SE,550.31
2017/1/3 19:30,SE,383.98
2017/1/3 19:35,SE,805.34
2017/1/3 19:40,SE,839.61
2017/1/3 19:45,SE,24.24
2017/1/3 19:50,SE,841.2
2017/1/3 19:55,SE,148.49
2017/1/3 20:00,SE,33.87
